# Time (s),Frame,IC-RP,norm_IC-RP,nrm_stdev IC-RP,gen_IMS-RP,stdev_IMS-RP,EC-RP,norm_EC-RP,nrm_stdev_EC-RP,# IC-RP and EC-RP aligned by frame of MOMP. Data values padded to frame zero. Stdev of IMS-RP taken to be .2 of value
180,1,0.6657,0.0098,0.0212,0.0000,5.6843E-14,0.4486,0.0019,0.0119,
360,2,0.6657,0.0098,0.0212,0.0000,8.8685E-14,0.4486,0.0019,0.0119,
540,3,0.6657,0.0098,0.0212,0.0000,1.3829E-13,0.4486,0.0019,0.0119,
720,4,0.6657,0.0098,0.0212,0.0000,2.1569E-13,0.4486,0.0019,0.0119,
900,5,0.6657,0.0098,0.0212,0.0000,3.3635E-13,0.4486,0.0019,0.0119,
1080,6,0.6657,0.0098,0.0212,0.0000,5.2460E-13,0.4486,0.0019,0.0119,
1260,7,0.6657,0.0098,0.0212,0.0000,8.1819E-13,0.4486,0.0019,0.0119,
1440,8,0.6657,0.0098,0.0212,0.0000,1.2761E-12,0.4486,0.0019,0.0119,
1620,9,0.6657,0.0098,0.0212,0.0000,1.9902E-12,0.4486,0.0019,0.0119,
1800,10,0.6657,0.0098,0.0212,0.0000,3.1040E-12,0.4486,0.0019,0.0119,
1980,11,0.6657,0.0098,0.0212,0.0000,4.8411E-12,0.4486,0.0019,0.0119,
2160,12,0.6579,0.0000,0.0186,0.0000,7.5503E-12,0.4486,0.0019,0.0119,
2340,13,0.6597,0.0023,0.0150,0.0000,1.1776E-11,0.4486,0.0019,0.0119,
2520,14,0.6666,0.0109,0.0204,0.0000,1.8365E-11,0.4486,0.0019,0.0119,
2700,15,0.6589,0.0013,0.0171,0.0000,2.8643E-11,0.4486,0.0019,0.0119,
2880,16,0.6627,0.0060,0.0133,0.0000,4.4673E-11,0.4486,0.0019,0.0119,
3060,17,0.6604,0.0031,0.0198,0.0000,6.9672E-11,0.4486,0.0019,0.0119,
3240,18,0.6608,0.0036,0.0173,0.0000,1.0866E-10,0.4486,0.0019,0.0119,
3420,19,0.6613,0.0043,0.0139,0.0000,1.6947E-10,0.4486,0.0019,0.0119,
3600,20,0.6628,0.0062,0.0210,0.0000,2.6431E-10,0.4486,0.0019,0.0119,
3780,21,0.6698,0.0150,0.0268,0.0000,4.1223E-10,0.4486,0.0019,0.0119,
3960,22,0.6604,0.0031,0.0173,0.0000,6.4292E-10,0.4486,0.0019,0.0119,
4140,23,0.6687,0.0136,0.0188,0.0000,1.0027E-09,0.4486,0.0019,0.0119,
4320,24,0.6732,0.0192,0.0183,0.0000,1.5639E-09,0.4486,0.0019,0.0119,
4500,25,0.6797,0.0274,0.0176,0.0000,2.4390E-09,0.4486,0.0019,0.0119,
4680,26,0.6782,0.0255,0.0140,0.0000,3.8040E-09,0.4478,0.0010,0.0121,
4860,27,0.6792,0.0268,0.0163,0.0000,5.9328E-09,0.4473,0.0004,0.0155,
5040,28,0.6804,0.0283,0.0225,0.0000,9.2529E-09,0.4470,0.0000,0.0173,
5220,29,0.6869,0.0365,0.0205,0.0000,1.4431E-08,0.4493,0.0028,0.0166,
5400,30,0.6874,0.0371,0.0130,0.0000,2.2507E-08,0.4495,0.0030,0.0164,
5580,31,0.6867,0.0362,0.0163,0.0000,3.5102E-08,0.4510,0.0048,0.0176,
5760,32,0.6903,0.0408,0.0320,0.0000,5.4747E-08,0.4507,0.0045,0.0270,
5940,33,0.7038,0.0577,0.0274,0.0000,8.5384E-08,0.4507,0.0045,0.0205,
6120,34,0.7014,0.0547,0.0295,0.0000,1.3317E-07,0.4474,0.0005,0.0233,
6300,35,0.7015,0.0548,0.0238,0.0000,2.0769E-07,0.4503,0.0040,0.0260,
6480,36,0.7103,0.0659,0.0206,0.0000,3.2392E-07,0.4503,0.0040,0.0320,
6660,37,0.7177,0.0752,0.0314,0.0000,5.0519E-07,0.4511,0.0050,0.0298,
6840,38,0.7200,0.0781,0.0491,0.0000,7.8791E-07,0.4528,0.0070,0.0316,
7020,39,0.7313,0.0923,0.0412,0.0000,1.2288E-06,0.4551,0.0098,0.0359,
7200,40,0.7337,0.0953,0.0405,0.0000,1.9165E-06,0.4525,0.0067,0.0296,
7380,41,0.7375,0.1001,0.0425,0.0000,2.9890E-06,0.4540,0.0085,0.0287,
7560,42,0.7315,0.0926,0.0454,0.0000,4.6617E-06,0.4548,0.0094,0.0312,
7740,43,0.7451,0.1097,0.0513,0.0000,7.2704E-06,0.4561,0.0110,0.0372,
7920,44,0.7551,0.1223,0.0582,0.0001,1.1339E-05,0.4565,0.0115,0.0382,
8100,45,0.7730,0.1448,0.0739,0.0001,1.7684E-05,0.4574,0.0126,0.0394,
8280,46,0.7792,0.1526,0.0789,0.0001,2.7579E-05,0.4579,0.0132,0.0437,
8460,47,0.7989,0.1774,0.1082,0.0002,4.3009E-05,0.4600,0.0157,0.0405,
8640,48,0.8007,0.1796,0.1122,0.0003,6.7070E-05,0.4620,0.0182,0.0437,
8820,49,0.8221,0.2065,0.1588,0.0005,1.0458E-04,0.4623,0.0185,0.0465,
9000,50,0.8301,0.2166,0.1717,0.0008,1.6306E-04,0.4642,0.0208,0.0489,
9180,51,0.8406,0.2298,0.1603,0.0013,2.5420E-04,0.4655,0.0224,0.0511,
9360,52,0.8435,0.2335,0.1587,0.0020,3.9618E-04,0.4682,0.0257,0.0505,
9540,53,0.8570,0.2504,0.1600,0.0031,6.1721E-04,0.4719,0.0301,0.0604,
9720,54,0.8724,0.2698,0.1730,0.0048,9.6095E-04,0.4719,0.0301,0.0610,
9900,55,0.8863,0.2873,0.1634,0.0075,1.4947E-03,0.4708,0.0288,0.0572,
10080,56,0.9000,0.3045,0.1690,0.0116,2.3215E-03,0.4729,0.0313,0.0609,
10260,57,0.9062,0.3123,0.1621,0.0180,3.5972E-03,0.4750,0.0339,0.0627,
10440,58,0.9228,0.3332,0.1696,0.0278,5.5544E-03,0.4761,0.0352,0.0641,
10620,59,0.9518,0.3697,0.1807,0.0427,8.5303E-03,0.4764,0.0356,0.0647,
10800,60,0.9582,0.3777,0.1804,0.0650,1.2994E-02,0.4775,0.0369,0.0621,
10980,61,0.9689,0.3912,0.1815,0.0978,1.9555E-02,0.4781,0.0376,0.0672,
11160,62,0.9801,0.4053,0.1771,0.1446,2.8916E-02,0.4817,0.0420,0.0623,
11340,63,0.9867,0.4136,0.1789,0.2086,4.1722E-02,0.4851,0.0461,0.0660,
11520,64,1.0018,0.4326,0.1614,0.2913,5.8268E-02,0.4903,0.0524,0.0820,
11700,65,1.0102,0.4431,0.1683,0.3907,7.8136E-02,0.4961,0.0594,0.0831,
11880,66,1.0131,0.4468,0.1516,0.5000,1.0000E-01,0.5175,0.0853,0.1012,
12060,67,1.0330,0.4718,0.1522,0.6093,1.2186E-01,0.5718,0.1510,0.1241,
12240,68,1.0408,0.4816,0.1518,0.7087,1.4173E-01,0.6567,0.2538,0.1173,
12420,69,1.0531,0.4971,0.1436,0.7914,1.5828E-01,0.7189,0.3290,0.1191,
12600,70,1.0980,0.5536,0.1471,0.8554,1.7108E-01,0.7694,0.3901,0.1179,
12780,71,1.0763,0.5263,0.1288,0.9022,1.8045E-01,0.8137,0.4437,0.1067,
12960,72,1.0962,0.5513,0.1299,0.9350,1.8701E-01,0.8434,0.4797,0.1081,
13140,73,1.1377,0.6035,0.1392,0.9573,1.9147E-01,0.8752,0.5182,0.0966,
13320,74,1.1499,0.6189,0.1331,0.9722,1.9445E-01,0.8972,0.5448,0.0965,
13500,75,1.1582,0.6293,0.1363,0.9820,1.9640E-01,0.9146,0.5658,0.0885,
13680,76,1.1860,0.6643,0.1485,0.9884,1.9768E-01,0.9380,0.5941,0.0840,
13860,77,1.1933,0.6735,0.1388,0.9925,1.9851E-01,0.9324,0.5874,0.0745,
14040,78,1.1978,0.6791,0.1363,0.9952,1.9904E-01,0.9501,0.6088,0.0900,
14220,79,1.2113,0.6961,0.1431,0.9969,1.9938E-01,0.9614,0.6225,0.0817,
14400,80,1.2027,0.6853,0.1380,0.9980,1.9960E-01,0.9697,0.6325,0.0844,
14580,81,1.2251,0.7135,0.1391,0.9987,1.9975E-01,0.9778,0.6423,0.0712,
14760,82,1.2398,0.7319,0.1252,0.9992,1.9984E-01,0.9836,0.6493,0.0741,
14940,83,1.2438,0.7370,0.1142,0.9995,1.9990E-01,0.9867,0.6531,0.0847,
15120,84,1.2399,0.7321,0.1086,0.9997,1.9993E-01,0.9831,0.6487,0.0777,
15300,85,1.2528,0.7483,0.0993,0.9998,1.9996E-01,1.0097,0.6809,0.0811,
15480,86,1.2533,0.7489,0.1003,0.9999,1.9997E-01,0.9980,0.6667,0.0869,
15660,87,1.2732,0.7740,0.1129,0.9999,1.9998E-01,1.0044,0.6745,0.0902,
15840,88,1.2594,0.7566,0.1235,0.9999,1.9999E-01,1.0121,0.6838,0.0948,
16020,89,1.2644,0.7629,0.0913,1.0000,1.9999E-01,1.0172,0.6900,0.0937,
16200,90,1.2526,0.7481,0.1086,1.0000,2.0000E-01,1.0208,0.6943,0.0977,
16380,91,1.2644,0.7629,0.1073,1.0000,2.0000E-01,1.0223,0.6962,0.0981,
16560,92,1.2749,0.7761,0.1093,1.0000,2.0000E-01,1.0362,0.7130,0.1000,
16740,93,1.2776,0.7795,0.0802,1.0000,2.0000E-01,1.0409,0.7187,0.1104,
16920,94,1.2821,0.7852,0.0699,1.0000,2.0000E-01,1.0402,0.7178,0.1072,
17100,95,1.2459,0.7396,0.0847,1.0000,2.0000E-01,1.0422,0.7202,0.1059,
17280,96,1.2790,0.7813,0.0829,1.0000,2.0000E-01,1.0418,0.7197,0.0992,
17460,97,1.2659,0.7648,0.0919,1.0000,2.0000E-01,1.0369,0.7138,0.1045,
17640,98,1.2889,0.7937,0.0736,1.0000,2.0000E-01,1.0407,0.7184,0.0943,
17820,99,1.2847,0.7884,0.0838,1.0000,2.0000E-01,1.0376,0.7147,0.0973,
18000,100,1.2782,0.7803,0.0875,1.0000,2.0000E-01,1.0386,0.7159,0.0805,
18180,101,1.2909,0.7962,0.0744,1.0000,2.0000E-01,1.0612,0.7432,0.0508,
18360,102,1.2729,0.7736,0.0838,1.0000,2.0000E-01,1.0546,0.7352,0.0670,
18540,103,1.2621,0.7600,0.0782,1.0000,2.0000E-01,1.0609,0.7429,0.0662,
18720,104,1.2631,0.7613,0.0713,1.0000,2.0000E-01,1.0666,0.7498,0.0622,
18900,105,1.2505,0.7454,0.0830,1.0000,2.0000E-01,1.0673,0.7506,0.0554,
19080,106,1.2638,0.7621,0.0605,1.0000,2.0000E-01,1.0695,0.7533,0.0547,
19260,107,1.2572,0.7538,0.0703,1.0000,2.0000E-01,1.0727,0.7571,0.0570,
19440,108,1.2419,0.7346,0.0840,1.0000,2.0000E-01,1.0723,0.7567,0.0644,
19620,109,1.2456,0.7392,0.0835,1.0000,2.0000E-01,1.0861,0.7734,0.0721,
19800,110,1.2481,0.7424,0.0781,1.0000,2.0000E-01,1.0890,0.7769,0.0613,
19980,111,1.2589,0.7560,0.0726,1.0000,2.0000E-01,1.0995,0.7896,0.0671,
20160,112,1.2734,0.7742,0.0728,1.0000,2.0000E-01,1.1029,0.7937,0.0612,
20340,113,1.2683,0.7678,0.0659,1.0000,2.0000E-01,1.1027,0.7934,0.0647,
20520,114,1.2645,0.7630,0.0682,1.0000,2.0000E-01,1.1075,0.7992,0.0624,
20700,115,1.2698,0.7697,0.0726,1.0000,2.0000E-01,1.1100,0.8023,0.0732,
20880,116,1.2769,0.7786,0.0714,1.0000,2.0000E-01,1.1148,0.8081,0.0696,
21060,117,1.2662,0.7652,0.0743,1.0000,2.0000E-01,1.1237,0.8189,0.0690,
21240,118,1.2514,0.7465,0.0705,1.0000,2.0000E-01,1.1199,0.8143,0.0593,
21420,119,1.2703,0.7703,0.0789,1.0000,2.0000E-01,1.1236,0.8187,0.0583,
21600,120,1.2661,0.7650,0.0913,1.0000,2.0000E-01,1.1252,0.8207,0.0598,
21780,121,1.2609,0.7585,0.0782,1.0000,2.0000E-01,1.1251,0.8205,0.0658,
21960,122,1.2638,0.7621,0.0704,1.0000,2.0000E-01,1.1327,0.8297,0.0654,
22140,123,1.2724,0.7730,0.0826,1.0000,2.0000E-01,1.1321,0.8290,0.0631,
22320,124,1.2326,0.7229,0.0756,1.0000,2.0000E-01,1.1379,0.8360,0.0638,
22500,125,1.2575,0.7542,0.0804,1.0000,2.0000E-01,1.1381,0.8363,0.0709,
22680,126,1.2530,0.7486,0.0791,1.0000,2.0000E-01,1.1339,0.8312,0.0667,
22860,127,1.2592,0.7564,0.0825,1.0000,2.0000E-01,1.1410,0.8398,0.0643,
23040,128,1.2725,0.7731,0.0800,1.0000,2.0000E-01,1.1510,0.8519,0.0646,
23220,129,1.2720,0.7725,0.0784,1.0000,2.0000E-01,1.1408,0.8395,0.0684,
23400,130,1.2704,0.7704,0.0918,1.0000,2.0000E-01,1.1478,0.8480,0.0662,
23580,131,1.2590,0.7561,0.0853,1.0000,2.0000E-01,1.1452,0.8449,0.0614,
23760,132,1.2656,0.7644,0.0905,1.0000,2.0000E-01,1.1545,0.8561,0.0615,
23940,133,1.2602,0.7576,0.1007,1.0000,2.0000E-01,1.1485,0.8489,0.0627,
24120,134,1.2613,0.7590,0.1044,1.0000,2.0000E-01,1.1530,0.8543,0.0619,
24300,135,1.2624,0.7604,0.1062,1.0000,2.0000E-01,1.1493,0.8498,0.0626,
24480,136,1.2469,0.7409,0.0983,1.0000,2.0000E-01,1.1506,0.8514,0.0656,
24660,137,1.2579,0.7547,0.1092,1.0000,2.0000E-01,1.1534,0.8548,0.0633,
24840,138,1.2524,0.7478,0.1017,1.0000,2.0000E-01,1.1500,0.8507,0.0707,
25020,139,1.2675,0.7668,0.1033,1.0000,2.0000E-01,1.1594,0.8621,0.0608,
25200,140,1.2750,0.7762,0.1138,1.0000,2.0000E-01,1.1571,0.8593,0.0607,
25380,141,1.2660,0.7649,0.0874,1.0000,2.0000E-01,1.1554,0.8572,0.0615,
25560,142,1.2682,0.7677,0.0948,1.0000,2.0000E-01,1.1648,0.8686,0.0628,
25740,143,1.2659,0.7648,0.0994,1.0000,2.0000E-01,1.1618,0.8650,0.0608,
25920,144,1.2669,0.7660,0.1082,1.0000,2.0000E-01,1.1668,0.8710,0.0573,
26100,145,1.2605,0.7580,0.1097,1.0000,2.0000E-01,1.1695,0.8743,0.0594,
26280,146,1.2669,0.7660,0.1077,1.0000,2.0000E-01,1.1744,0.8802,0.0675,
26460,147,1.2735,0.7743,0.1000,1.0000,2.0000E-01,1.1738,0.8795,0.0629,
26640,148,1.2668,0.7659,0.1092,1.0000,2.0000E-01,1.1740,0.8797,0.0604,
26820,149,1.2687,0.7683,0.1115,1.0000,2.0000E-01,1.1767,0.8830,0.0608,
27000,150,1.2709,0.7711,0.1102,1.0000,2.0000E-01,1.1810,0.8882,0.0644,
27180,151,1.2870,0.7913,0.1142,1.0000,2.0000E-01,1.1812,0.8884,0.0619,
27360,152,1.2746,0.7757,0.1171,1.0000,2.0000E-01,1.1764,0.8826,0.0591,
27540,153,1.2911,0.7965,0.1134,1.0000,2.0000E-01,1.1863,0.8946,0.0563,
27720,154,1.2805,0.7831,0.1103,1.0000,2.0000E-01,1.1854,0.8935,0.0617,
27900,155,1.2947,0.8010,0.1116,1.0000,2.0000E-01,1.1879,0.8965,0.0559,
28080,156,1.2923,0.7980,0.1107,1.0000,2.0000E-01,1.1943,0.9043,0.0599,
28260,157,1.3061,0.8153,0.1103,1.0000,2.0000E-01,1.1895,0.8985,0.0580,
28440,158,1.3077,0.8174,0.1131,1.0000,2.0000E-01,1.1943,0.9043,0.0578,
28620,159,1.2716,0.7719,0.1343,1.0000,2.0000E-01,1.1937,0.9036,0.0600,
28800,160,1.2569,0.7535,0.1351,1.0000,2.0000E-01,1.1948,0.9049,0.0599,
28980,161,1.2815,0.7844,0.1335,1.0000,2.0000E-01,1.1925,0.9021,0.0580,
29160,162,1.2695,0.7693,0.1476,1.0000,2.0000E-01,1.1948,0.9049,0.0622,
29340,163,1.2705,0.7706,0.1417,1.0000,2.0000E-01,1.1945,0.9045,0.0665,
29520,164,1.2627,0.7608,0.1441,1.0000,2.0000E-01,1.1989,0.9098,0.0656,
29700,165,1.2886,0.7933,0.1565,1.0000,2.0000E-01,1.2015,0.9130,0.0632,
